College,Profession,Course,Location,Rating,Review1,Review2,Review3
AIIMS Rishikesh,Medical,MBBS,Rishikesh,4.4,Good clinical exposure,Central institute status,Growing reputation
Kasturba Medical College,Medical,MBBS,Manipal,4.4,Good clinical training,Private reputed institute,Strong alumni
Government Medical College Chandigarh,Medical,MBBS,Chandigarh,4.5,Good hospital exposure,Government college,Strong academics
IMS BHU,Medical,MBBS,Varanasi,4.5,Central university advantage,Good faculty,High patient load

Hindu College,Arts & Science,BA Economics,Delhi,4.5,Top DU college,Strong academics,Competitive peer group
Ramjas College,Arts & Science,BA History,Delhi,4.3,Good humanities focus,Central university,Active student culture
Lady Shri Ram College,Arts & Science,BA Sociology,Delhi,4.7,Top women’s college,Strong academics,Excellent exposure
Presidency University,Arts & Science,BSc Statistics,Bangalore,4.2,Modern curriculum,Good faculty,Research oriented
University of Hyderabad,Arts & Science,MA Economics,Hyderabad,4.4,Research focused,Central university,Strong faculty

TISS Mumbai,Management,MA HRM & LR,Mumbai,4.7,Top social sciences institute,Strong placements,National reputation
IIM Ranchi,Management,Integrated MBA,Ranchi,4.4,Emerging IIM,Good academics,Improving placements
Xavier University Bhubaneswar,Management,BBA,Bhubaneswar,4.3,Jesuit education model,Good academics,Reputed institute
Great Lakes Institute of Management,Management,PGDM,Chennai,4.3,Industry aligned curriculum,Good placements,Corporate exposure
IMT Ghaziabad,Management,PGDM,Ghaziabad,4.4,Strong marketing focus,Good alumni,Reputed management institute
